name,hub_target,drugbank_id,indication,dock_wt,dock_delta,dock_mean,pIC50_pred,pIC50_sd,pIC50_lo,pIC50_hi,tanimoto_max,prediction_confidence,lipinski_ok,dock_norm,pic50_norm,score_final
Glyburide,CFTR,DB01016,Antidiabetic,-10.105,-9.684,-9.8945,5.801620100626366,0.5579815449990089,4.883740459102996,6.719499742149735,0.333,Medium (marginal zone),True,1.0,0.34649781331785245,0.738599125327141
Cromoglicic_acid,HSP90AA1,DB01003,Antiallergic,-9.347,-9.326,-9.336500000000001,5.561891891602059,0.22157724510260335,5.197397323408277,5.926386459795841,0.27,Medium (marginal zone),True,0.8389377976620005,0.1245906687964693,0.553198946115788
Fostamatinib,PRKACA,DB12010,Immunomodulator,-9.009,-8.781,-8.895,5.710098593307798,0.4367854899558789,4.991586462330377,6.428610724285218,0.258,Medium (marginal zone),False,0.7115023812960017,0.26177988865635804,0.5316133842401443
Dasatinib,HSPA8,DB01254,Antineoplastic,-9.131,-9.242,-9.1865,5.427295513661465,0.3450324801056769,4.859717083887627,5.994873943435303,0.275,Medium (marginal zone),True,0.795641506710925,0.0,0.477384904026555
Bumetanide,CFTR,DB00887,Diuretic,-7.21,-7.147,-7.1785,5.457930805204963,0.2830630504084588,4.992292087283048,5.923569523126878,0.287,Medium (marginal zone),True,0.21604849184586516,0.028357906212482575,0.14097225759251214
Artenimol,HSPA8,DB11638,Antimalarial,-6.613,-6.886,-6.7495,5.617961264717612,0.3620188863522294,5.022440196668194,6.213482332767029,0.298,Medium (marginal zone),True,0.09222109972579018,0.17649192202743436,0.12592942864644785
Ibuprofen,CFTR,DB01050,NSAID,-6.593,-6.267,-6.43,5.577232612938818,0.3846455350332597,4.9444907078091065,6.20997451806853,0.312,Medium (marginal zone),True,0.0,0.13879098206203633,0.055516392824814534
Ivacaftor,CFTR,DB08820,CF - potentiator,-9.493,-9.651,-9.572,6.507604169524529,0.3244789196328074,5.973836346728561,7.041371992320498,1.0,High (inside domain),False,0.9069129744551878,1.0,0.9441477846731127
