Model,N compounds,R2 (CV 5-fold),RMSE (CV 5-fold),R2 (hold-out 20%),RMSE (hold-out 20%)
Model 1 — ChEMBL only,803,0.631 +/- 0.053,0.576 +/- 0.035,0.646,0.570
Model 2 — ChEMBL+Papyrus+BindingDB,1591,0.746 +/- 0.036,0.457 +/- 0.029,0.759,0.458
